len,ttl(new),ttl(overlap),id(new),id(overlap),off(new),off(overlap),sum(new),sum(overlap),HOPOPTS,ICMP,IGMP,GGP,IPV4,IPV6,TCP,EGP,PUP,UDP,IDP,ND,ROUTING,FRAGMENT,ESP,AH,ICMPV6,NONE,DSTOPTS,PIM,SCTP,RAW,MAX,ICLFXBM,ST,CBT,IGP,RDP,PGM,L2TP
607.889880952381,0.01488095238095238,0.9851190476190477,0.9732142857142857,0.026785714285714284,0.002976190476190476,0.9970238095238095,0.9523809523809523,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
848.8603268945022,0.0014858841010401188,0.9985141158989599,1.0,0.0,0.0029717682020802376,0.9970282317979198,0.8692421991084696,0.13075780089153047,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
803.9114359415305,0.0008598452278589854,0.999140154772141,0.9200343938091143,0.07996560619088564,0.0017196904557179708,0.998280309544282,0.942390369733448,0.05760963026655202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615.5513905683192,0.0024183796856106408,0.9975816203143894,0.9788391777509069,0.021160822249093107,0.0006045949214026602,0.9993954050785974,0.9492140266021766,0.05078597339782346,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
631.9628770301624,0.009280742459396751,0.9907192575406032,0.9702242846094354,0.02977571539056458,0.0007733952049497294,0.9992266047950503,0.9218870843000774,0.07811291569992267,0.0,0.002320185614849188,0.0,0.0,0.0,0.0,0.9025522041763341,0.0,0.0,0.0951276102088167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
709.2857142857143,0.0026455026455026454,0.9973544973544973,0.32671957671957674,0.6732804232804233,0.0013227513227513227,0.9986772486772487,0.32671957671957674,0.6732804232804233,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788.4478723404255,0.013829787234042552,0.9861702127659574,0.9867021276595744,0.013297872340425532,0.0010638297872340426,0.9989361702127659,0.9606382978723405,0.039361702127659576,0.0,0.0,0.0,0.0,0.0,0.0,0.877127659574468,0.0,0.0,0.12287234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
701.0804144055254,0.011840157868771583,0.9881598421312284,0.9792797237296498,0.020720276270350273,0.000986679822397632,0.9990133201776024,0.9629995066600888,0.0370004933399112,0.0,0.003946719289590528,0.0,0.0,0.0,0.0,0.889985199802664,0.0,0.0,0.10606808090774544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
854.274686716792,0.0036758563074352547,0.9963241436925647,0.9655806182121972,0.03441938178780284,0.0003341687552213868,0.9996658312447786,0.9010860484544695,0.0989139515455305,0.0,0.0,0.0,0.0,0.0,0.0,0.9834586466165414,0.0,0.0,0.016541353383458645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
912.0820633059789,0.0015631105900742479,0.9984368894099257,0.9914028917545916,0.008597108245408363,0.00039077764751856197,0.9996092223524814,0.977725674091442,0.022274325908558032,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
